strain, stress
0.0715, 0.0242
0.125, 0.0417
0.155, 0.0497
0.183, 0.0591
0.238, 0.0725
0.272, 0.0819
0.300, 0.0900
0.328, 0.0967
0.358, 0.107
0.389, 0.116
0.417, 0.125
0.447, 0.134
0.475, 0.145
0.503, 0.156
0.532, 0.167
0.582, 0.185
0.632, 0.212
0.684, 0.245
0.717, 0.269
0.749, 0.293
0.794, 0.328
0.817, 0.353
0.838, 0.377
0.886, 0.434
0.913, 0.471
0.935, 0.509
0.966, 0.560
1.00, 0.631
1.04, 0.712
1.08, 0.782
1.11, 0.833
1.14, 0.893
1.18, 0.944
1.21, 1.00
1.24, 1.05
1.28, 1.10
1.32, 1.15
1.35, 1.19
